engine,fuel,layout,era,key_systems,common_service_topics,notes_ru
M54,gasoline,inline-6 naturally aspirated,2000s,"[""VANOS"", ""DISA"", ""CCV""]","[""cooling system"", ""oil filter housing gasket"", ""CCV failure"", ""intake leaks"", ""camshaft/crankshaft sensors""]",Распространен на E46/E39/E53/E60 ранних лет; простая диагностика относительно N-серий.
N52,gasoline,inline-6 naturally aspirated,2004-2015 approx,"[""Valvetronic"", ""VANOS"", ""electric coolant pump""]","[""electric water pump"", ""thermostat"", ""oil filter housing gasket"", ""valve cover"", ""DISA"", ""VANOS solenoids""]",Легкий магниево-алюминиевый блок на многих версиях; перегрев часто связан с электропомпой.
N54,gasoline,inline-6 twin turbo direct injection,2006-2016 approx,"[""HPFP"", ""direct injection"", ""twin turbo"", ""VANOS""]","[""HPFP"", ""injectors"", ""wastegate rattle"", ""boost leaks"", ""charge pipe"", ""intake valve deposits"", ""VANOS solenoids""]",Высокая диагностическая ценность live data по наддуву и давлению топлива.
N55,gasoline,inline-6 single twin-scroll turbo,2009-2019 approx,"[""Valvetronic"", ""VANOS"", ""direct injection"", ""turbo""]","[""charge pipe"", ""VANOS solenoids"", ""Valvetronic faults"", ""oil leaks"", ""electric water pump"", ""HPFP""]",Часто работает с ZF 8HP в F-сериях.
B48,gasoline,inline-4 turbo modular,2014-present,"[""direct injection"", ""turbo"", ""Valvetronic"", ""VANOS""]","[""coolant leaks"", ""PCV"", ""coils/plugs"", ""injectors"", ""software updates""]",Модульный двигатель; уточнять версию по VIN.
B58,gasoline,inline-6 turbo modular,2015-present,"[""direct injection"", ""turbo"", ""Valvetronic"", ""VANOS"", ""integrated exhaust manifold""]","[""coolant leaks"", ""PCV"", ""oil filter housing/cooler depending version"", ""coils/plugs"", ""fuel pressure faults""]",Часто в паре с ZF 8HP; тепловой контур зависит от поколения.
N47,diesel,inline-4 common rail turbo,2007-2017 approx,"[""common rail"", ""EGR"", ""DPF"", ""rear timing chain""]","[""timing chain"", ""EGR cooler"", ""DPF"", ""glow plugs/module"", ""injectors"", ""boost control""]",Публичные бюллетени BMW/NHTSA содержат материалы по EGR cooler.
N57,diesel,inline-6 common rail turbo,2008-2020 approx,"[""common rail"", ""EGR"", ""DPF"", ""SCR on some versions""]","[""EGR cooler"", ""DPF"", ""NOx sensors"", ""glow plugs/module"", ""boost leaks"", ""injectors""]","Диагностика DPF/EGR требует данных температуры, давления и сажи/золы."
B47,diesel,inline-4 modular diesel,2014-present,"[""common rail"", ""EGR"", ""DPF"", ""SCR""]","[""EGR"", ""DPF"", ""SCR AdBlue"", ""NOx sensors"", ""glow system"", ""boost control""]",Экологическая система зависит от рынка и года.
N63,gasoline,V8 twin turbo direct injection,2008-present versions,"[""direct injection"", ""hot-vee turbochargers"", ""VANOS"", ""Valvetronic on versions""]","[""oil consumption"", ""valve stem seals"", ""turbo oil/coolant lines"", ""injectors"", ""coils"", ""timing chain depending version""]",Публичные документы NHTSA содержат материалы по расходу масла и сервисным кампаниям.
