category,city,query,priority,expected_use,verification
universal_parts_store,Красноярск,автозапчасти Красноярск,1,new_parts_consumables_suspension,call_and_categorize
bmw_specialist,Красноярск,запчасти BMW Красноярск,1,BMW new used modules body,call_check_vin_skill
used_parts_yard,Красноярск,авторазбор Красноярск,1,used_body_aggregates_modules,request_photo_marking
contract_parts,Красноярск,контрактные запчасти Красноярск,1,engines_transmissions_rare_parts,warranty_video
body_parts,Красноярск,кузовные запчасти Красноярск,2,doors_bumpers_lights_panels,photo_mounts_color
engine_transmission_yard,Красноярск,двигатели коробки передач контрактные Красноярск,1,powertrain,code_mileage_warranty
electronics_modules,Красноярск,блоки управления авто Красноярск автоэлектроника,1,ECU ABS FRM FEM BDC CAS,hw_sw_return_coding
diesel_parts,Красноярск,дизель сервис запчасти Красноярск форсунки ТНВД,2,diesel_injection_turbo_egr,bench_test
turbo_repair,Красноярск,турбины ремонт продажа Красноярск,2,turbochargers,warranty_balancing_report
radiator_ac,Красноярск,радиаторы кондиционеры автозапчасти Красноярск,2,cooling_ac,dimensions_ports
