symptom_ru,primary_systems,data_to_capture,notes_ru
"Не заводится, стартер не крутит","[""CAS/FEM/BDC"", ""battery"", ""starter"", ""immobilizer""]","[""battery voltage under load"", ""terminal status KL15/KL30"", ""key recognition"", ""starter command""]",Сначала отделить отсутствие команды стартера от механической неисправности стартера.
"Стартер крутит, двигатель не запускается","[""DME/DDE"", ""fuel"", ""ignition"", ""crank sensor""]","[""RPM during crank"", ""fuel pressure low/high side"", ""injector/ignition enable"", ""fault memory""]",Для дизеля добавить давление rail и разрешение впрыска.
Неровный холостой ход на бензиновом двигателе,"[""intake leaks"", ""PCV"", ""ignition"", ""injectors"", ""VANOS/Valvetronic""]","[""fuel trims"", ""misfire counters"", ""MAF"", ""VANOS actual/target"", ""Valvetronic position""]",Дым-тест впуска имеет высокую ценность.
Провал мощности на турбо BMW,"[""boost"", ""charge air"", ""fuel high pressure"", ""wastegate"", ""exhaust restriction""]","[""boost target/actual"", ""wastegate command"", ""fuel pressure"", ""lambda"", ""exhaust backpressure if available""]",Сравнить фактический и заданный наддув под нагрузкой.
Расход масла,"[""PCV"", ""valve stem seals"", ""turbo"", ""piston rings""]","[""oil consumption measurement"", ""smoke conditions"", ""intake oil traces"", ""compression/leak-down""]",N63/S63 имеют отдельные публичные материалы по расходу масла.
Перегрев,"[""coolant pump"", ""thermostat"", ""radiator"", ""fan"", ""air bleeding""]","[""coolant temperature"", ""pump command/speed"", ""fan command"", ""thermostat status"", ""fault memory""]",На N-сериях электрическая помпа является частой зоной проверки.
Пинки АКПП при переключении,"[""EGS"", ""mechatronics"", ""solenoids"", ""ATF level"", ""adaptations""]","[""EGS faults"", ""ATF temperature"", ""gear actual/target"", ""slip values"", ""adaptations""]","Ошибка P0700 требует чтения EGS, а не только DME."
Пробуксовка АКПП,"[""clutches"", ""hydraulic pressure"", ""ATF"", ""mechatronics"", ""torque converter""]","[""input/output speed"", ""gear ratio fault"", ""pressure data if available"", ""ATF condition""]",Низкий уровень ATF и механический износ дают похожие симптомы.
Дрожь xDrive на малой скорости в повороте,"[""tires"", ""transfer case VTG"", ""transfer case oil"", ""calibration""]","[""tire sizes/tread depth"", ""VTG faults"", ""DSC wheel speeds"", ""service history""]",Публичные бюллетени BMW указывают на шины и масло раздаточной коробки как возможные причины.
Горит ABS/DSC,"[""wheel speed sensors"", ""DSC"", ""wiring"", ""hub encoder""]","[""wheel speeds live"", ""DSC faults"", ""supply voltage"", ""sensor waveform if needed""]",Ложный сигнал одного колеса часто виден на малой скорости.
Быстро разряжается аккумулятор,"[""sleep mode"", ""IBS"", ""body modules"", ""aftermarket equipment""]","[""closed-circuit current"", ""sleep status"", ""wake events"", ""battery registration""]",Измерение тока должно не будить автомобиль.
Много несвязанных ошибок связи,"[""battery"", ""ground straps"", ""gateway ZGM"", ""CAN/FlexRay"", ""water ingress""]","[""battery voltage"", ""voltage drop grounds"", ""network topology"", ""modules offline""]",Низкое напряжение и вода первичнее замены блоков.
"Не работает климат, есть код IHKA","[""IHKA"", ""software"", ""sensors"", ""actuators""]","[""IHKA fault text"", ""I-level"", ""flap positions"", ""sensor values""]",Коды 8013FE/8013A3 встречаются в публичных бюллетенях; проверять конкретный VIN.
Не заряжается PHEV/EV,"[""KLE/CCU"", ""charge port"", ""EVSE"", ""SME"", ""12V battery""]","[""charging status"", ""AC voltage/current"", ""lock status"", ""HV faults"", ""12V voltage""]",Слабая 12-вольтовая сеть может блокировать HV-ready.
Нет READY на электромобиле,"[""SME"", ""EME"", ""HV interlock"", ""12V battery"", ""isolation fault""]","[""contactor status"", ""isolation resistance"", ""HVIL status"", ""12V voltage"", ""fault memory""]",Работы с HV требуют квалификации и официальных процедур.
