abbr,full_en,ru,note
ECU,Electronic Control Unit,электронный блок управления,"Встроенный блок, управляющий функциями автомобиля."
DME,Digital Motor Electronics,цифровая электроника двигателя,BMW-блок управления бензиновым двигателем.
DDE,Digital Diesel Electronics,цифровая дизельная электроника,BMW-блок управления дизельным двигателем.
EGS,Electronic Gearbox System,электронная система коробки передач,Блок управления автоматической трансмиссией BMW.
DSC,Dynamic Stability Control,динамический контроль устойчивости,Система стабилизации и тормозного управления BMW.
VTG,Verteilergetriebe,раздаточная коробка,Блок/узел раздаточной коробки xDrive.
FEM,Front Electronic Module,передний электронный модуль,Кузовной модуль BMW.
BDC,Body Domain Controller,контроллер домена кузова,Кузовной контроллер BMW на современных платформах.
CAS,Car Access System,система доступа автомобиля,Модуль доступа и авторизации запуска BMW.
EWS,Elektronische Wegfahrsperre,электронная противоугонная система,Система иммобилайзера BMW.
ZGM/ZGW,Central Gateway Module,центральный шлюз,Шлюз между сетями автомобиля.
VCI,Vehicle Communication Interface,интерфейс связи с автомобилем,Диагностический интерфейс между компьютером и автомобилем.
J2534,SAE J2534 Pass-Thru,стандарт pass-thru программирования,Совместимость OEM-приложений с интерфейсами reprogramming.
UDS,Unified Diagnostic Services,унифицированные диагностические сервисы,Диагностический протокол ISO 14229.
ISO-TP,ISO Transport Protocol,транспортный протокол ISO,Передача длинных диагностических сообщений поверх CAN.
DoIP,Diagnostics over Internet Protocol,диагностика по IP,Диагностика через Ethernet/IP.
A2L,ASAM MCD-2 MC / ASAP2,описание измерений и калибровок ECU,"Файл описывает переменные, карты, адреса, масштабы."
ODX,Open Diagnostic Data Exchange,открытый обмен диагностическими данными,Формат описания диагностических сервисов ECU.
MDF,Measurement Data Format,формат измерительных данных,Бинарный формат логов и измерений.
CDF,Calibration Data Format,формат калибровочных данных,Хранение значений калибровок и метаданных.
DCM,Data Calibration Management,формат управления калибровочными данными,Текстовый формат значений калибровок.
DTC,Diagnostic Trouble Code,диагностический код неисправности,"Код, записанный ECU при выполнении условий неисправности."
MIL,Malfunction Indicator Lamp,контрольная лампа неисправности,"Индикатор неисправности, связанный с OBD."
Readiness,OBD readiness monitor,готовность OBD-мониторов,Статус завершения экологических диагностических тестов.
EGR,Exhaust Gas Recirculation,рециркуляция отработавших газов,Система снижения NOx за счет возврата части выхлопа.
DPF,Diesel Particulate Filter,сажевый фильтр дизеля,Фильтр твердых частиц дизельного двигателя.
GPF,Gasoline Particulate Filter,сажевый фильтр бензинового двигателя,Фильтр частиц на бензиновых двигателях.
SCR,Selective Catalytic Reduction,селективное каталитическое восстановление,Снижение NOx с AdBlue/DEF.
DEF,Diesel Exhaust Fluid,дизельная выхлопная жидкость,Раствор мочевины для SCR.
NOx,Nitrogen Oxides,оксиды азота,"Загрязняющие вещества, контролируемые EGR/SCR."
MAF,Mass Air Flow,массовый расход воздуха,Датчик или параметр массы воздуха.
MAP,Manifold Absolute Pressure,абсолютное давление во впуске,Датчик/параметр давления во впускном коллекторе.
PWM,Pulse Width Modulation,широтно-импульсная модуляция,Метод управления исполнительными механизмами.
NVM,Non-Volatile Memory,энергонезависимая память,"Память адаптаций, кодировок и счетчиков."
CRC,Cyclic Redundancy Check,циклический избыточный код,Контроль целостности данных.
CVN,Calibration Verification Number,номер проверки калибровки,OBD-идентификатор проверки калибровки.
VIN,Vehicle Identification Number,идентификационный номер автомобиля,17-значный идентификатор автомобиля.
I-level,Integration level,уровень интеграции BMW,Уровень программной интеграции автомобиля BMW.
VO/FA,Vehicle Order / Fahrzeugauftrag,заказ/комплектация автомобиля,Конфигурация опций BMW.
ISTA,Integrated Service Technical Application,интегрированное сервисно-техническое приложение,Официальное приложение BMW для диагностики и программирования.
AOS,Aftersales Online System,послепродажная онлайн-система,Официальный портал BMW Group для независимых мастерских.
AIR,Aftersales Information Research,послепродажная информационная система,Техническая информация BMW.
ICOM,Integrated Communication Optical Module,интегрированный коммуникационный модуль,Официальный интерфейс BMW.
