source_id,publisher,title,type,url,notes_ru
BMW_AOS_2026,BMW Group,Aftersales Online System (AOS),official_portal,https://aos.bmwgroup.com/,Официальный портал BMW Group для независимых мастерских.
BMW_TIS_SITE_INFO_2026,BMW of North America,BMW Group Technical Information System Website: Site information PDF,official_pdf,https://bmwtechinfo.bmwgroup.com/tisUI/assets/site_information.pdf,"Описывает TIS (Technical Information System), AOS (Aftersales Online System), ISTA, AIR, P-code lookup, wiring diagrams."
BMW_OWNER_MANUALS_USA,BMW USA,Digital Owner’s Manual by VIN,official_web,https://www.bmwusa.com/owners-manuals.html,Официальный доступ к цифровому руководству владельца по VIN (Vehicle Identification Number — идентификационный номер автомобиля).
BMW_RECALL_LOOKUP_GLOBAL,BMW Group,Recalls and technical updates,official_web,https://www.bmwgroup.com/en/general/regulations/recall/recall-english.html,Официальная проверка отзывов и технических обновлений по 17-значному VIN.
SAE_J2012_OVERVIEW,SAE International,J2012: Diagnostic Trouble Code Definitions,standard_overview,https://saemobilus.sae.org/standards/j2012_201612-diagnostic-trouble-code-definitions,Стандарт для формата DTC (Diagnostic Trouble Code — диагностический код неисправности) и областей кодов.
CARB_OBD_1968_2,California Air Resources Board via Cornell Legal Information Institute,Title 13 California Code of Regulations § 1968.2 OBD II requirements,regulation,https://www.law.cornell.edu/regulations/california/13-CCR-1968.2,"Нормативные требования к OBD II (On-Board Diagnostics II — бортовая диагностика второго поколения), MIL, pending/confirmed fault codes."
ZF_8HP_OIL_CHANGE_50130_EN_2024,ZF Aftermarket,"Service Information: Oil change kit for ZF 8HP automatic transmission, 50130 EN, 11.2024",official_pdf,https://aftermarket.zf.com/app/controller/ti/download/Binary/c6f6d6c4-a254-11ef-a30a-00505690da53.pdf,"Официальная сервисная информация ZF по 8HP: комплекты, условия проверки уровня, температура масла."
ZF_5HP_6HP_OIL_CHANGE_50145_EN_2023,ZF Aftermarket,"Service Information: Oil change kit for ZF 5HP/6HP automatic transmission, 50145 EN, 03.2023",official_pdf,https://aftermarket.zf.com/app/controller/ti/download/Binary/5a709c41-c80e-11ed-a2f4-00505690da53.pdf,"Официальная сервисная информация ZF по 5HP и 6HP: масла, уровень, предупреждения по ESD (Electrostatic Discharge — электростатический разряд)."
ZF_LIFEGUARDFLUID_8_PDS_2021,ZF Friedrichshafen AG,Product Data Sheet: ZF LifeguardFluid 8,official_pdf,https://aftermarket.zf.com/lubricants-datasheets/lifeguardfluid-8/pds_zf_lifeguardfluid_8_en_20170920.pdf,Официальное описание ATF (Automatic Transmission Fluid — жидкость автоматической коробки передач) ZF LifeguardFluid 8.
ZF_OIL_KITS_BLOG,ZF Aftermarket,In brief – ZF Oil change kits,official_web,https://aftermarket.zf.com/en/aftermarket-portal/whats-new/expert-blog/inbrief-zf-oil-change-kits/,Описывает состав комплектов ZF для замены масла.
NHTSA_BMW_SIB_27_02_20_XDRIVE_2025,BMW of North America via NHTSA,SIB 27 02 20: Jerking or shuddering from the driveline (xDrive transfer case ATX13-X),public_tsb_pdf,https://static.nhtsa.gov/odi/tsbs/2025/MC-11016472-0001.pdf,"Публичный бюллетень по рывкам/дрожи трансмиссии xDrive, VTG calibration, масло раздаточной коробки."
