extension,full_name,meaning,repair_note
BIN,raw binary image,Сырой бинарный образ сегмента или всей памяти,Нельзя интерпретировать без адресов и описания
HEX,Intel HEX,Текстовые записи адресов и данных,Учебный формат; ECU обычно требует OEM-контейнер
S19/SREC,Motorola S-record,Текстовые записи адресов и данных,Учебный/embedded формат
ELF,Executable and Linkable Format,Исполняемый/компонуемый формат разработки,Редко доступен в сервисе
A2L,ASAM MCD-2 MC / ASAP2,Описание измеряемых переменных и калибровок,Не является прошивкой
ODX/PDX,Open Diagnostic Data Exchange,Описание диагностики и сервисов ECU,Используется диагностическими tool
CDF/CDFX,Calibration Data Format,Значения калибровок и метаданные,Связан с A2L
DCM,Data Calibration Management,Текстовые значения калибровок,Учебный пример данных
MDF/MF4,Measurement Data Format,Бинарный лог измерений,Полезен для диагностики и валидации
BLF,Binary Logging Format,Бинарный лог CAN,Требует декодирования сигналов
ASC,ASCII CAN log,Текстовый лог CAN,Удобен для первичного анализа
DBC,CAN database,Описание CAN-сигналов,Неверная база дает неверные физические величины
