code,typical_generic_description,repair_direction
P0101,MAF range/performance,"Проверить MAF, утечки впуска, проводку, загрязнение, EGR influence"
P0113,Intake air temperature sensor high,Питание/сигнал датчика температуры воздуха
P0171,System too lean,"Подсос воздуха, MAF, топливо, давление, лямбда"
P0299,Turbo underboost,"Утечки наддува, VGT/wastegate, вакуум, MAP, DPF restriction"
P0401,EGR flow insufficient,"Поток EGR, MAF response, привод, засор, каналы"
P0402,EGR flow excessive,"Зависание EGR, управляющий сигнал, MAF plausibility"
P0420,Catalyst efficiency below threshold,"Misfire, fuel trims, O2 sensors, утечки, катализатор"
P2002,DPF efficiency below threshold,"DPF, датчик давления, регенерация, утечки выхлопа"
P20EE,SCR NOx catalyst efficiency,"AdBlue/DEF, NOx sensors, dosing, температура"
P2201,NOx sensor range/performance,"NOx sensor, проводка, утечки выхлопа, SCR контекст"
P242F,DPF restriction / ash accumulation,"Ash load, differential pressure, состояние DPF"
P2452,DPF pressure sensor circuit,"Цепь датчика, шланги, питание, сигнал"
U0100,Lost communication with ECM/PCM,"Питание, CAN, gateway, wake-up, масса"
U0121,Lost communication with ABS/DSC,"Питание DSC, CAN, gateway, сеть шасси"
