sid,service,repair_meaning,safe_note
0x10,DiagnosticSessionControl,Смена сессии,"default, extended, programming; условия задает ECU"
0x11,ECUReset,Перезапуск ECU,Используется после программирования или процедур
0x14,ClearDiagnosticInformation,Очистка DTC,После сохранения контекста и ремонта
0x19,ReadDTCInformation,Чтение DTC,"Коды, статусы, freeze frame"
0x22,ReadDataByIdentifier,Чтение DID,"Идентификаторы, live data, номера ПО"
0x27,SecurityAccess,Авторизованный доступ,Только официальные процессы; обход не рассматривается
0x28,CommunicationControl,Управление коммуникацией,Может применяться в programming workflow
0x2E,WriteDataByIdentifier,Запись DID,Только разрешенные идентификаторы и процедуры
0x31,RoutineControl,Запуск процедуры,"Адаптации, проверки, erase/verify routines"
0x34,RequestDownload,Запрос записи данных,Часть официального flash workflow
0x36,TransferData,Передача блока данных,Передача сегментов с подтверждением
0x37,RequestTransferExit,Завершение передачи,Переход к проверке/сбросу
0x3E,TesterPresent,Поддержание сессии,Предотвращает timeout при процедурах
