title,url,use,access
ASAM MCD-2 MC (ASAP2/A2L),https://www.asam.net/standards/detail/mcd-2-mc/,"Описание формата A2L для внутренних переменных ECU, измерений и калибровок.",Публичная обзорная страница; полная спецификация может иметь лицензионные условия.
ASAM MCD-2 D (ODX),https://www.asam.net/standards/detail/mcd-2-d/,Описание ODX как стандарта обмена диагностической информацией ECU.,Публичная обзорная страница; полная спецификация может иметь лицензионные условия.
ASAM MDF,https://www.asam.net/standards/detail/mdf/,Описание MDF как бинарного формата измерительных данных.,Публичная обзорная страница; часть документов доступна по условиям ASAM.
ASAM CDF,https://www.asam.net/standards/detail/cdf/,Описание CDF как формата хранения значений калибровочных параметров и метаданных.,Публичная обзорная страница.
ISO 14229-1:2020 Unified Diagnostic Services,https://www.iso.org/standard/72439.html,"Описание UDS как диагностических сервисов, позволяющих тестеру управлять диагностическими функциями ECU.",Публичная аннотация; полный стандарт платный.
ISO 15765-2 Diagnostic communication over CAN (DoCAN),https://www.iso.org/standard/94385.html,Описание транспортного и сетевого уровня для диагностических сообщений поверх CAN.,Публичная аннотация; полный стандарт платный.
ISO 13400-2 Diagnostics over Internet Protocol (DoIP),https://www.iso.org/standard/74785.html,Описание диагностической коммуникации по IP/TCP/UDP между тестером и сервером DoIP автомобиля.,Публичная аннотация; полный стандарт платный.
SAE J2534 Pass-Thru Vehicle Programming,https://www.sae.org/standards/j2534-1_5_00-recommended-practice-pass-thru-vehicle-programming,Рекомендуемая практика совместимости ПО OEM с интерфейсами pass-thru.,Публичная аннотация; полный стандарт платный.
AUTOSAR Classic Platform,https://www.autosar.org/standards/classic-platform,"Слои AUTOSAR Classic: Application, RTE, BSW для микроконтроллерных ECU.",Публичная страница стандарта.
BMW Aftersales Online System,https://aos.bmwgroup.com/,"Официальный портал BMW Group для независимых мастерских, выполняющих ремонт и обслуживание.",Доступ по условиям BMW Group.
BMW AOS price list,https://aos.bmwgroup.com/price-list,"Указывает доступ к оригинальным техническим документам BMW: листы инспекции, ремонтные инструкции, электросхемы и др.",Публичная страница с условиями доступа.
EPA - Tampering and Aftermarket Defeat Devices,https://www.epa.gov/enforcement/aftermarket-defeat-devices-and-tampering-are-illegal-and-undermine-vehicle-emissions,Позиция EPA: установка defeat device и tampering экологических систем запрещены и влекут санкции.,Публичная страница.
CARB - Defeat devices warning,https://ww2.arb.ca.gov/news/carb-warns-vehicle-and-engine-manufacturers-about-hiding-software-or-hardware-changes-affect,"CARB описывает defeat devices как скрытые изменения, уменьшающие эффективность систем контроля выбросов.",Публичная страница.
