code,series,generation_years,body,notes_ru
E30,3 Series,1982-1994,sedan/coupe/convertible/touring,Классическая E-серия; ремонтные данные зависят от двигателя M10/M20/M40/M42/S14.
E36,3 Series,1990-2000,sedan/coupe/convertible/touring/compact,OBD I/OBD II переходный период по рынку и году.
E46,3 Series,1998-2006,sedan/coupe/convertible/touring/compact,M52TU/M54/M56/N42/N46/M57 в зависимости от рынка.
E90/E91/E92/E93,3 Series,2005-2013,sedan/touring/coupe/convertible,N46/N52/N53/N54/N55/N47/M57/N57; много различий по рынку.
F30/F31/F34,3 Series,2011-2019,sedan/touring/gran turismo,N13/N20/N26/N47/N57/B38/B48/B58; ZF 8HP на многих версиях.
G20/G21,3 Series,2018-present,sedan/touring,B48/B58/B47/B57/PHEV; BDC и Ethernet/DoIP на многих версиях.
E39,5 Series,1995-2004,sedan/touring,M52/M54/M57/M62; механика и ZF/GM автоматы.
E60/E61,5 Series,2003-2010,sedan/touring,"Сложная электронная архитектура, CCC/MOST, активные системы шасси на части машин."
F10/F11/F07,5 Series,2009-2017,sedan/touring/gran turismo,"N20/N47/N52/N53/N55/N57/N63; ZF 8HP, xDrive на части версий."
G30/G31,5 Series,2016-2024,sedan/touring,"B-серии двигателей, BDC, гибридные версии, продвинутая диагностика ISTA."
G60/G61,5 Series,2023-present,sedan/touring,"Современная электронная платформа, гибридные и электрические исполнения по рынку."
E53,X5,1999-2006,SUV,Ранний X5; M54/M57/M62/N62; раздаточные коробки и пневмоподвеска.
E70,X5,2006-2013,SUV,"xDrive, дизельные и V8 версии, активное шасси на части комплектаций."
F15/F85,X5/X5 M,2013-2018,SUV,"ZF 8HP, N55/N57/N63/S63, гибрид F15 PHEV."
G05,X5,2018-present,SUV,"B58/N63/B57/PHEV, BDC, современные ADAS и сетевые системы."
E83,X3,2003-2010,SUV,"Ранний xDrive, M54/N52/M57/N47."
F25,X3,2010-2017,SUV,"N20/N52/N55/N47/N57, ZF 8HP, xDrive."
G01,X3,2017-2024,SUV,"B48/B58/B47/B57, ZF 8HP, PHEV на части рынков."
G45,X3,2024-present,SUV,"Новая G-платформа, программная диагностика по I-level критична."
E65/E66,7 Series,2001-2008,sedan,"Ранняя сложная шина/электроника, N62/N73, пневмо/активные системы."
F01/F02,7 Series,2008-2015,sedan,"N54/N55/N57/N63/N74, ZF 6HP/8HP, активное шасси."
G11/G12,7 Series,2015-2022,sedan,"BDC, B58/N63/B57/PHEV, продвинутые системы помощи."
G70,7 Series/i7,2022-present,sedan,"Современная платформа, включая электрические версии и высоковольтные системы."
I01,i3,2013-2022,electric hatchback,"Электромобиль/Range Extender, HV SME/EME, 12-вольтовая сеть важна."
I12/I15,i8,2014-2020,plug-in hybrid coupe/roadster,"PHEV, HV-система, электрический привод передней оси на части режимов."
I20,iX,2021-present,electric SUV,Современная высоковольтная и программная архитектура.
