id,name,publisher,category,source_type,url,regions,brands,data_types,access,legal_ingestion_status,priority_score_1_5,recommended_ingestion_route,notes,evidence_url,last_verified,forum_or_unofficial
bosch_automotive_electrics_electronics,Bosch Automotive Electrics and Automotive Electronics,Springer Vieweg / Bosch,book,reference_book,https://link.springer.com/book/10.1007/978-3-658-01784-2,Global,Multi-brand,automotive_electrics | electronics | networking | hybrid_drive,paid_book,book_purchase_required,5,Use for electrical diagnosis theory; do not ingest pirated PDFs.,High-value for modern diagnostics.,https://link.springer.com/book/10.1007/978-3-658-01784-2,2026-05-03,False
bosch_automotive_handbook_11,"Bosch Automotive Handbook, 11th edition",Robert Bosch GmbH / Wiley,book,reference_book,https://www.bosch-classic.com/de/en/services/technical-literature/,Global,Multi-brand,automotive_technology | vehicle_systems | diagnosis_foundation | electronics | powertrain | safety,paid_book,book_purchase_required,5,Buy legal copy; ingest only if your license permits. Otherwise store as bibliography and use human-made notes.,High-value general automotive reference.,https://www.bosch-classic.com/de/en/services/technical-literature/,2026-05-03,False
bosch_diesel_engine_management,Diesel Engine Management: Systems and Components,Springer Vieweg / Bosch Professional Automotive Information,book,reference_book,https://link.springer.com/book/10.1007/978-3-658-03981-3,Global,Multi-brand,diesel_injection | emissions | common_rail | diagnostics,paid_book,book_purchase_required,5,"Useful for diesel diagnostics, DPF/EGR/injection theory.",Technical foundation.,https://link.springer.com/book/10.1007/978-3-658-03981-3,2026-05-03,False
bosch_gasoline_engine_management,Gasoline Engine Management: Systems and Components,Springer Vieweg / Bosch Professional Automotive Information,book,reference_book,https://link.springer.com/book/10.1007/978-3-658-03964-6,Global,Multi-brand,gasoline_engine_management | emissions | diagnostics | sensors_actuators,paid_book,book_purchase_required,5,Good for training the agent on gasoline engine principles; do not copy without license.,Technical foundation.,https://link.springer.com/book/10.1007/978-3-658-03964-6,2026-05-03,False
bosch_professional_series,Bosch Professional Automotive Information series,Springer Vieweg / Bosch,book_series,reference_books,https://link.springer.com/series/11721/books,Global,Multi-brand,engine_management | diesel | gasoline | mechatronics | electronics | sensors,paid_books,book_purchase_required,5,Purchase legal eBooks/print; avoid pirated PDFs. Use summarized internal notes if license allows.,Deep technical foundation for diagnostics.,https://link.springer.com/series/11721/books,2026-05-03,False
gm_acdelco_tds,ACDelco Technical Delivery System (TDS),General Motors / ACDelco,oem_service_portal,subscription_portal,https://www.acdelcotds.com/,United States/global access varies,Chevrolet | GMC | Cadillac | Buick | Holden legacy | Opel legacy where covered,service_information | diagnostics | service_programming | repair_manuals | service_bulletins | campaigns,paid_subscription,licensed_subscription_required,5,Subscribe; ingest GMSi documents and calibrations metadata under license.,Core GM source.,https://www.acdelcotds.com/,2026-05-03,False
audi_erwin_na,Audi erWin North America,Audi of America,oem_service_portal,subscription_portal,https://erwin.audiusa.com/,United States | North America,Audi,repair_manuals | wiring_diagrams | technical_service_bulletins | vehicle_data | recalls,paid_subscription,licensed_subscription_required,5,Subscribe; use VIN-specific docs and keep document IDs.,Core Audi source.,https://erwin.audiusa.com/,2026-05-03,False
bmw_aos,BMW Group Aftersales Online System (AOS),BMW Group,oem_service_portal,subscription_portal,https://aos.bmwgroup.com/,Europe/global access varies,BMW | MINI | Rolls-Royce where applicable,repair_information | maintenance | diagnosis | programming | service_history,paid_subscription,licensed_subscription_required,5,"Subscribe; index repair information by VIN, model series, engine and procedure ID.",Core BMW/MINI source.,https://aos.bmwgroup.com/,2026-05-03,False
honda_serviceexpress,Honda ServiceExpress,American Honda Motor Co.,oem_service_portal,subscription_portal,https://techinfo.honda.com/,United States,Honda | Acura,service_publications | repair_procedures | service_bulletins | service_news | electrical_troubleshooting_manuals,paid_subscription,licensed_subscription_required,5,Subscribe and ingest only licensed documents; use VIN/year/model/trim filters.,Core source for Honda/Acura U.S. models.,https://techinfo.honda.com/,2026-05-03,False
hyundai_techinfo,Hyundai Service Website,Hyundai Motor America,oem_service_portal,subscription_portal,https://www.hyundaitechinfo.com/,United States,Hyundai,shop_manuals | electrical_troubleshooting_manuals | technical_service_bulletins | j2534,paid_subscription,licensed_subscription_required,5,Subscribe; ingest licensed shop manuals/ETM/TSB with source/version metadata.,Core Hyundai source.,https://www.hyundaitechinfo.com/,2026-05-03,False
